Feature Set,Num Features,Model,Precision,Recall,F1-Score,ROC-AUC,PR-AUC
All Features,49,XGBoost,0.4861205145565335,0.9566955363091273,0.644668911335578,0.9988375407471966,0.9405391021195196
All Features,49,LightGBM,0.6222838650023116,0.8967355096602265,0.7347161572052402,0.9969808441116876,0.8895507863050347
All Features,49,Random Forest,0.2742690058479532,0.9373750832778148,0.4243703815412457,0.9939658509190517,0.8252247877175248
Top 50,49,XGBoost,0.478505291005291,0.9640239840106596,0.6395580110497238,0.9986564182666694,0.9453866198520052
Top 50,49,LightGBM,0.6222838650023116,0.8967355096602265,0.7347161572052402,0.9969808441116876,0.8895507863050347
Top 50,49,Random Forest,0.2684371417653802,0.9360426382411725,0.4172234595397179,0.9936966632653145,0.8196944605426407
Top 30,30,XGBoost,0.4628626075868664,0.9673550966022652,0.6261319534282018,0.997242237369703,0.9386315033257001
Top 30,30,LightGBM,0.5780787134997885,0.9100599600266489,0.7070393374741201,0.9971250346187188,0.8932276819598858
Top 30,30,Random Forest,0.2541143160502566,0.9566955363091273,0.4015659955257271,0.9958364567977795,0.8473107023474364
Top 20,20,XGBoost,0.29292726908435185,0.9740173217854764,0.45040049291435613,0.997277395481882,0.9078142776997675
Top 20,20,LightGBM,0.4216248867411658,0.9300466355762825,0.5802161263507897,0.9972916910211925,0.8765621614751941
Top 20,20,Random Forest,0.25834672379932155,0.9640239840106596,0.4074908476485497,0.9960441226000541,0.8266662453721447
Top 10,10,XGBoost,0.1347965249199817,0.9820119920053297,0.23705371502090705,0.9959939493267486,0.8115739155195592
Top 10,10,LightGBM,0.2809708737864078,0.9640239840106596,0.4351225379642159,0.9974123161746742,0.855965744823894
Top 10,10,Random Forest,0.218510158013544,0.9673550966022652,0.3564939847778051,0.996197768963589,0.7929093326804353
